Model,model,accuracy,f1_weighted,precision_weighted,recall_weighted,Balanced_Accuracy,POD,FAR,CSI,HSS,Bias_Score,True_Positives,False_Positives,False_Negatives,True_Negatives,Tuned_Threshold,Tuned_Accuracy,Tuned_F1,Tuned_POD,Tuned_FAR,Tuned_CSI,Tuned_HSS,Tuned_TP,Tuned_FP,Tuned_FN,Tuned_TN
random_forest,random_forest,0.8271582405548458,0.8250560417711919,0.8273839068001855,0.8271582405548458,0.7410197966498175,0.8143,0.1948,0.6803,0.7891,1.0113,434,105,99,4841,0.51,0.8277057857273225,0.8256081827450894,0.8199,0.1937,0.685,0.7927,437,105,96,4841
xgboost,xgboost,0.8463223215915313,0.8448722211317703,0.8456464779782199,0.8463223215915313,0.7817276038301942,0.8255,0.1603,0.7131,0.8147,0.9831,440,84,93,4862,0.35,0.8452272312465778,0.844020264056099,0.8593,0.1908,0.7145,0.8149,458,108,75,4838
lightgbm,lightgbm,0.8477824420514692,0.846363815593832,0.847245314775418,0.8477824420514692,0.7620058818273578,0.8236,0.1558,0.715,0.8161,0.9756,439,81,94,4865,0.23,0.847599926993977,0.8464512897934942,0.8856,0.1959,0.7284,0.825,472,115,61,4831
gradient_boosting,gradient_boosting,0.8266106953823691,0.8254208889389179,0.8305168907535273,0.8266106953823691,0.7796656242128671,0.8893,0.2685,0.6704,0.7791,1.2158,474,174,59,4772,0.75,0.8266106953823691,0.8254208889389179,0.8893,0.2685,0.6704,0.7791,474,174,59,4772
