Model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,POD,FAR,CSI,Specificity,Balanced_Accuracy,HSS,True_Positives,False_Positives,False_Negatives,True_Negatives,Tuned_Threshold,Tuned_Accuracy,Tuned_F1,Tuned_POD,Tuned_FAR,Tuned_CSI,Tuned_HSS,Tuned_TP,Tuned_FP,Tuned_FN,Tuned_TN
random_forest,0.881365212630042,0.9278130628495591,0.686192120978638,0.7401075160802596,0.9115331920561709,0.881365212630042,0.8773627039426082,0.291970802919708,0.0,0.291970802919708,1.0,0.6459854014598541,0.43930399224360434,80,0,194,5205,0.13,0.9018068990691732,0.9042499382119865,0.8540145985401459,0.15217391304347827,0.740506329113924,0.8430306456357728,234,42,40,5163
xgboost,0.8839204234349334,0.7405948889819858,0.5490449802567489,0.592053818306365,0.9124581475081037,0.8839204234349334,0.8797185810441612,0.28832116788321166,0.0125,0.2872727272727273,0.9998078770413065,0.6440645224622591,0.43352362102962083,79,1,195,5204,0.05,0.8850155137798869,0.8816872973003627,0.3175182481751825,0.03333333333333333,0.3140794223826715,0.4647862558842093,87,3,187,5202
lightgbm,0.8753422157327979,0.7386039886039886,0.5469541079843494,0.5899419930393959,0.9090139039034824,0.8753422157327979,0.8725968324822727,0.291970802919708,0.012345679012345678,0.2909090909090909,0.9998078770413065,0.6458893399805072,0.4378759555248528,80,1,194,5204,0.05,0.8753422157327979,0.8725968324822727,0.291970802919708,0.012345679012345678,0.2909090909090909,0.4378759555248528,80,1,194,5204
gradient_boosting,0.8645738273407556,0.920921116581789,0.6768347815779335,0.7283939868936501,0.9026835598918843,0.8645738273407556,0.8613052846200885,0.28102189781021897,0.0,0.28102189781021897,1.0,0.6405109489051095,0.42615553026078085,77,0,197,5205,0.05,0.8674940682606315,0.8658880553873686,0.34306569343065696,0.010526315789473684,0.3418181818181818,0.49652052022373,94,1,180,5204
