Model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,POD,FAR,CSI,Specificity,Balanced_Accuracy,True_Positives,False_Positives,False_Negatives,True_Negatives
random_forest,0.9905886379192334,0.906392139698491,0.8063338664821964,0.7936142301375663,0.9915365365616141,0.9905886379192334,0.9905554890113434,0.918918918918919,0.17073170731707318,0.7727272727272727,0.9987945582917169,0.958856738605318,34,7,3,5800
xgboost,0.9958932238193019,0.7835492374365924,0.7606891997957457,0.7662457009963481,0.9955979500536094,0.9958932238193019,0.9957084746003715,0.7567567567567568,0.15151515151515152,0.6666666666666666,0.9991389702083692,0.877947863482563,28,5,9,5802
lightgbm,0.9976043805612594,0.8828322909384074,0.859883867010911,0.8589324750786334,0.997606133007179,0.9976043805612594,0.9975138183306121,0.918918918918919,0.1282051282051282,0.8095238095238095,0.9991389702083692,0.9590289445636441,34,5,3,5802
gradient_boosting,0.9981177275838466,0.9389592794310818,0.9662986813860778,0.9485839479930588,0.9983817150691263,0.9981177275838466,0.9981807905371941,0.972972972972973,0.14285714285714285,0.8372093023255814,0.998966764250043,0.985969868611508,36,6,1,5801
