Model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,POD,FAR,CSI,Specificity,Balanced_Accuracy,HSS,Bias_Score,True_Positives,False_Positives,False_Negatives,True_Negatives,Tuned_Threshold,Tuned_Accuracy,Tuned_F1,Tuned_POD,Tuned_FAR,Tuned_CSI,Tuned_HSS,Tuned_TP,Tuned_FP,Tuned_FN,Tuned_TN
random_forest,0.9869952087611226,0.6846521627516541,0.7669255764437573,0.7223774376441077,0.9877522400771908,0.9869952087611226,0.9869727204486203,0.8918918918918919,0.10810810810810811,0.8048780487804879,0.9993111761666954,0.9456015340292936,0.8912030680585872,1.0,33,4,4,5803,0.41,0.9869952087611226,0.9869926632517672,0.918918918918919,0.10526315789473684,0.8292682926829268,0.9060640017635389,34,4,3,5803
xgboost,0.9955509924709104,0.9362916542977858,0.891771428883297,0.9069205927531518,0.9956551932472555,0.9955509924709104,0.9955570941069151,0.8918918918918919,0.13157894736842105,0.7857142857142857,0.9991389702083692,0.9455154310501306,0.8792251451245499,1.027027027027027,33,5,4,5802,0.73,0.9955509924709104,0.9955570941069151,0.8918918918918919,0.13157894736842105,0.7857142857142857,0.8792251451245499,33,5,4,5802
lightgbm,0.9964065708418891,0.9328281737288752,0.8570852993837235,0.8779324956130274,0.9965239317287322,0.9964065708418891,0.9963625360168721,0.8108108108108109,0.14285714285714285,0.7142857142857143,0.9991389702083692,0.90497489050959,0.8323010775315774,0.9459459459459459,30,5,7,5802,0.05,0.9965776865160849,0.9965581229157041,0.8918918918918919,0.15384615384615385,0.7674418604651163,0.8675604748242525,33,6,4,5801
gradient_boosting,0.9958932238193019,0.9341744153812341,0.8584400534990836,0.8609099442484925,0.9961813136571871,0.9958932238193019,0.9958071159744902,0.918918918918919,0.1282051282051282,0.8095238095238095,0.9991389702083692,0.9590289445636441,0.894048379859402,1.054054054054054,34,5,3,5802,0.43,0.9958932238193019,0.9958071159744902,0.918918918918919,0.1282051282051282,0.8095238095238095,0.894048379859402,34,5,3,5802
